Date,Open,High,Low,Close,Adj Close,Volume,Pct_change,Compound,Positive,Negative,Neutral
2021-05-10,250.8699951171875,251.72999572753906,247.1199951171875,247.17999267578125,246.6105499267578,29299900,-0.020914259279372516,0.14816000000000001,0.0824,0.0378,0.8799999999999999
2021-05-11,244.5500030517578,246.60000610351562,242.57000732421875,246.22999572753906,245.66273498535156,33641600,-0.003843340789674188,0.038860000000000006,0.0884,0.0984,0.8131999999999999
2021-05-12,242.1699981689453,244.3800048828125,238.07000732421875,239.0,238.44940185546875,36684400,-0.02936277404455334,0.2787,0.1025,0.0285,0.869
2021-05-13,241.8000030517578,245.60000610351562,241.4199981689453,243.02999877929688,242.47010803222656,29624300,0.01686191957864791,0.4054333333333333,0.15266666666666664,0.0,0.8473333333333334
2021-05-14,245.5800018310547,249.17999267578125,245.49000549316406,248.14999389648438,247.57830810546875,23868600,0.021067337953768916,0.2294,0.1235,0.048,0.8285
2021-05-17,246.5500030517578,246.58999633789062,243.52000427246094,245.17999267578125,244.6151580810547,24970200,-0.011968572612345296,0.4345,0.23325,0.03425,0.7324999999999999
2021-05-18,246.27000427246094,246.41000366210938,242.89999389648438,243.0800018310547,242.52000427246094,20168000,-0.008565098733417154,-0.0846,0.11133333333333334,0.14466666666666667,0.7443333333333334
2021-05-19,239.30999755859375,243.22999572753906,238.60000610351562,243.1199951171875,243.1199951171875,25739800,0.00016452725782278854,0.08050000000000002,0.2,0.058,0.742
2021-05-20,243.9600067138672,247.9499969482422,243.86000061035156,246.47999572753906,246.47999572753906,21800700,0.013820338424784806,0.1609,0.0895,0.045875000000000006,0.8643750000000001
2021-05-21,247.57000732421875,248.3300018310547,244.74000549316406,245.1699981689453,245.1699981689453,21863100,-0.00531482303351638,0.3393375,0.153375,0.028374999999999997,0.8182499999999999
2021-05-24,247.7899932861328,251.16000366210938,247.50999450683594,250.77999877929688,250.77999877929688,21411500,0.0228820844811759,0.177025,0.07825,0.0495,0.8720000000000001
2021-05-25,251.77000427246094,252.75,250.82000732421875,251.72000122070312,251.72000122070312,17704300,0.0037483150409993726,0.0258,0.146,0.108,0.746
2021-05-26,251.42999267578125,252.94000244140625,250.75,251.49000549316406,251.49000549316406,17771600,-0.0009136966725874496,0.37776,0.11599999999999999,0.0,0.884
2021-05-27,251.1699981689453,251.47999572753906,249.25,249.30999755859375,249.30999755859375,24426200,-0.008668368074092547,0.1909,0.055,0.0,0.9450000000000001
2021-05-28,251.0,252.0800018310547,249.55999755859375,249.67999267578125,249.67999267578125,18270200,0.0014840765344781293,0.08834285714285715,0.08085714285714285,0.043,0.8761428571428572
